soil_property,dataset,spectra,n,min,Q1,median,Q3,max
acidity_usda.a795_cmolc.kg,OSSL,MIR,30061,0,3.5,7.07,13.8,282.72
acidity_usda.a795_cmolc.kg,OSSL,NIR,1576,0.05,3.85,8.05,13.88,157
acidity_usda.a795_cmolc.kg,OSSL,VisNIR,1511,0,0.2,0.9,2.6,25.5
aggstb_usda.a1_w.pct,OSSL,MIR,3218,0,9,28,63,106
aggstb_usda.a1_w.pct,OSSL,NIR,197,0,12,40,70,100
aggstb_usda.a1_w.pct,OSSL,VisNIR,0,0,0,0,0,0
al.dith_usda.a65_w.pct,OSSL,MIR,31135,0,0.05,0.11,0.21,7.7
al.dith_usda.a65_w.pct,OSSL,NIR,1773,0,0.04,0.1,0.18,2.28
al.dith_usda.a65_w.pct,OSSL,VisNIR,0,0,0,0,0,0
al.ext_usda.a1056_mg.kg,OSSL,MIR,3773,0,418.57,746.7,1154.47,6748.01
al.ext_usda.a1056_mg.kg,OSSL,NIR,76,5.72,588.95,865.62,1040.48,2238.66
al.ext_usda.a1056_mg.kg,OSSL,VisNIR,0,0,0,0,0,0
al.ext_usda.a69_cmolc.kg,OSSL,MIR,15710,0,0.28,1.01,2.87,63.01
al.ext_usda.a69_cmolc.kg,OSSL,NIR,716,0,0.33,1.02,2.55,16.44
al.ext_usda.a69_cmolc.kg,OSSL,VisNIR,1541,0,0,0.7,2.1,25.3
al.ox_usda.a59_w.pct,OSSL,MIR,28260,0,0.06,0.12,0.24,8.8
al.ox_usda.a59_w.pct,OSSL,NIR,1354,0,0.07,0.12,0.21,4
al.ox_usda.a59_w.pct,OSSL,VisNIR,0,0,0,0,0,0
awc.33.1500kPa_usda.c80_w.frac,OSSL,MIR,16175,0,0.11,0.14,0.19,0.78
awc.33.1500kPa_usda.c80_w.frac,OSSL,NIR,931,0,0.11,0.15,0.19,0.51
awc.33.1500kPa_usda.c80_w.frac,OSSL,VisNIR,0,0,0,0,0,0
b.ext_mel3_mg.kg,OSSL,MIR,2093,0,0,0.12,0.31,55.09
b.ext_mel3_mg.kg,OSSL,NIR,0,0,0,0,0,0
b.ext_mel3_mg.kg,OSSL,VisNIR,0,0,0,0,0,0
bd_usda.a4_g.cm3,OSSL,MIR,41484,0.01,0.92,1.25,1.45,8.1
bd_usda.a4_g.cm3,OSSL,NIR,1085,0.2,1.18,1.32,1.46,2.03
bd_usda.a4_g.cm3,OSSL,VisNIR,20751,0.06,0.9,1.2,1.41,1.98
c.tot_usda.a622_w.pct,OSSL,MIR,80698,0,0.58,1.58,4.29,78.45
c.tot_usda.a622_w.pct,OSSL,NIR,1976,0.02,0.82,1.61,3,53.88
c.tot_usda.a622_w.pct,OSSL,VisNIR,19807,0.01,0.68,2.05,19.71,78.45
ca.ext_usda.a1059_mg.kg,OSSL,MIR,3773,0,325,879,2977.53,44723.96
ca.ext_usda.a1059_mg.kg,OSSL,NIR,76,38.72,524.33,2506.14,3550.48,18563.27
ca.ext_usda.a1059_mg.kg,OSSL,VisNIR,0,0,0,0,0,0
ca.ext_usda.a722_cmolc.kg,OSSL,MIR,57085,0,3,11.35,27.12,410.41
ca.ext_usda.a722_cmolc.kg,OSSL,NIR,1976,0,2.58,10.52,23.17,363.64
ca.ext_usda.a722_cmolc.kg,OSSL,VisNIR,3723,0,0.4,3.8,15.2,168.2
caco3_usda.a54_w.pct,OSSL,MIR,29225,0,0.24,1.57,10.82,101.37
caco3_usda.a54_w.pct,OSSL,NIR,665,0.01,0.29,1.91,8.23,89.03
caco3_usda.a54_w.pct,OSSL,VisNIR,51094,0,0,0.1,2.1,99.7
cec_usda.a723_cmolc.kg,OSSL,MIR,57651,0,7.78,15.33,24.66,584.59
cec_usda.a723_cmolc.kg,OSSL,NIR,1976,0.13,7.98,14.4,22.09,190.11
cec_usda.a723_cmolc.kg,OSSL,VisNIR,22687,0,6.8,12.3,20.5,234
cf_usda.c236_w.pct,OSSL,MIR,56470,0,0,0.25,7,100
cf_usda.c236_w.pct,OSSL,NIR,1969,0,0.04,1,14,93
cf_usda.c236_w.pct,OSSL,VisNIR,23237,0,6,11,20,90
clay.tot_usda.a334_w.pct,OSSL,MIR,57268,0,10.3,21.77,33.99,100
clay.tot_usda.a334_w.pct,OSSL,NIR,1976,0,8.75,17.84,27.75,76.97
clay.tot_usda.a334_w.pct,OSSL,VisNIR,27145,0,8,17.2,28,96.8
