soil_property,model_name,rmse,bias,rsq,ccc,rpiq
acidity_usda.a795_cmolc.kg,mir_cubist_kssl_na_v1.2,0.262,-0.006,0.927,0.962,4.378
acidity_usda.a795_cmolc.kg,mir_cubist_ossl_na_v1.2,0.273,-0.01,0.927,0.962,4.355
acidity_usda.a795_cmolc.kg,nir.neospectra_cubist_ossl_na_v1.2,0.505,-0.012,0.651,0.784,2.22
acidity_usda.a795_cmolc.kg,visnir_cubist_ossl_na_v1.2,0.424,0.018,0.652,0.771,2.593
aggstb_usda.a1_w.pct,mir_cubist_kssl_na_v1.2,0.636,-0.04,0.687,0.803,2.918
aggstb_usda.a1_w.pct,mir_cubist_ossl_na_v1.2,0.638,-0.044,0.685,0.802,2.909
al.dith_usda.a65_w.pct,mir_cubist_kssl_na_v1.2,0.055,0.002,0.909,0.951,2.701
al.dith_usda.a65_w.pct,mir_cubist_ossl_na_v1.2,0.055,0.002,0.911,0.951,2.721
al.dith_usda.a65_w.pct,nir.neospectra_cubist_ossl_na_v1.2,0.085,0.004,0.741,0.837,1.485
al.ext_usda.a1056_mg.kg,mir_cubist_kssl_na_v1.2,0.519,-0.015,0.922,0.958,2.905
al.ext_usda.a1056_mg.kg,mir_cubist_ossl_na_v1.2,0.377,-0.017,0.92,0.957,2.688
al.ext_usda.a69_cmolc.kg,mir_cubist_kssl_na_v1.2,0.228,-0.001,0.903,0.948,4.799
al.ext_usda.a69_cmolc.kg,mir_cubist_ossl_na_v1.2,0.233,-0.002,0.898,0.945,4.744
al.ext_usda.a69_cmolc.kg,nir.neospectra_cubist_ossl_na_v1.2,0.454,0.031,0.54,0.697,2.163
al.ext_usda.a69_cmolc.kg,visnir_cubist_ossl_na_v1.2,0.426,0.016,0.629,0.756,2.657
al.ox_usda.a59_w.pct,mir_cubist_kssl_na_v1.2,0.058,0.003,0.942,0.969,2.598
al.ox_usda.a59_w.pct,mir_cubist_ossl_na_v1.2,0.058,0.003,0.942,0.969,2.601
al.ox_usda.a59_w.pct,nir.neospectra_cubist_ossl_na_v1.2,0.104,0.005,0.77,0.855,1.168
awc.33.1500kPa_usda.c80_w.frac,mir_cubist_kssl_na_v1.2,0.044,0.001,0.479,0.612,1.574
awc.33.1500kPa_usda.c80_w.frac,mir_cubist_ossl_na_v1.2,0.044,0.001,0.482,0.615,1.578
awc.33.1500kPa_usda.c80_w.frac,nir.neospectra_cubist_ossl_na_v1.2,0.053,0,0.166,0.31,1.372
b.ext_mel3_mg.kg,mir_cubist_ossl_na_v1.2,0.165,0.006,0.8,0.875,1.648
bd_usda.a4_g.cm3,mir_cubist_kssl_na_v1.2,0.12,-0.006,0.753,0.857,2.031
bd_usda.a4_g.cm3,mir_cubist_ossl_na_v1.2,0.119,-0.006,0.752,0.857,2.041
bd_usda.a4_g.cm3,nir.neospectra_cubist_ossl_na_v1.2,0.082,-0.007,0.446,0.617,1.463
bd_usda.a4_g.cm3,visnir_cubist_kssl_na_v1.2,0.135,-0.009,0.664,0.79,1.781
bd_usda.a4_g.cm3,visnir_cubist_ossl_na_v1.2,0.132,-0.009,0.67,0.793,1.794
c.tot_usda.a622_w.pct,mir_cubist_kssl_na_v1.2,0.102,0.003,0.992,0.996,12.251
c.tot_usda.a622_w.pct,mir_cubist_ossl_na_v1.2,0.103,0.002,0.991,0.996,11.756
c.tot_usda.a622_w.pct,nir.neospectra_cubist_ossl_na_v1.2,0.272,-0.005,0.766,0.867,2.892
c.tot_usda.a622_w.pct,visnir_cubist_kssl_na_v1.2,0.238,-0.009,0.969,0.984,10.544
c.tot_usda.a622_w.pct,visnir_cubist_ossl_na_v1.2,0.231,-0.007,0.971,0.985,10.908
ca.ext_usda.a1059_mg.kg,mir_cubist_kssl_na_v1.2,0.434,-0.022,0.941,0.969,4.778
ca.ext_usda.a1059_mg.kg,mir_cubist_ossl_na_v1.2,0.413,-0.02,0.937,0.966,5.355
ca.ext_usda.a722_cmolc.kg,mir_cubist_kssl_na_v1.2,0.27,-0.01,0.957,0.977,7.034
ca.ext_usda.a722_cmolc.kg,mir_cubist_ossl_na_v1.2,0.278,-0.012,0.955,0.977,7.014
ca.ext_usda.a722_cmolc.kg,nir.neospectra_cubist_ossl_na_v1.2,0.579,-0.016,0.801,0.887,3.297
ca.ext_usda.a722_cmolc.kg,visnir_cubist_ossl_na_v1.2,0.505,-0.007,0.853,0.915,4.847
