soil_property,spectra_type,subset_type,geo_type,test,organization,n,rmse,bias,rsq,ccc,rpiq
clay.tot_usda.a334_w.pct,mir,kssl,na,original,Agrocares,69,6.367,-0.09,0.705,0.829,2.262
clay.tot_usda.a334_w.pct,mir,kssl,na,original,Argonne,69,4.792,-0.2,0.836,0.914,3.006
clay.tot_usda.a334_w.pct,mir,kssl,na,original,CSU_IL,69,4.348,0.145,0.872,0.933,3.313
clay.tot_usda.a334_w.pct,mir,kssl,na,original,ETH_alpha_1,69,7.394,3.402,0.713,0.81,1.948
clay.tot_usda.a334_w.pct,mir,kssl,na,original,ETH_alpha_2,69,7.299,3.296,0.728,0.821,1.973
clay.tot_usda.a334_w.pct,mir,kssl,na,original,ETH_vertex,69,7.459,4.465,0.757,0.811,1.931
clay.tot_usda.a334_w.pct,mir,kssl,na,original,IAEA_aug2022,69,11.369,-7.124,0.519,0.61,1.267
clay.tot_usda.a334_w.pct,mir,kssl,na,original,KSSL,69,4.219,1.168,0.884,0.935,3.413
clay.tot_usda.a334_w.pct,mir,kssl,na,original,LandCare,69,4.922,1.319,0.862,0.92,2.926
clay.tot_usda.a334_w.pct,mir,kssl,na,original,Lesotho,69,40.507,-37.798,0.194,0.088,0.356
clay.tot_usda.a334_w.pct,mir,kssl,na,original,MSU,69,5.174,1.933,0.839,0.903,2.784
clay.tot_usda.a334_w.pct,mir,kssl,na,original,OSU,69,7.781,1.235,0.654,0.801,1.851
clay.tot_usda.a334_w.pct,mir,kssl,na,original,Rothamsted,69,5.798,1.462,0.8,0.886,2.484
clay.tot_usda.a334_w.pct,mir,kssl,na,original,Scion,69,5.043,-1.992,0.845,0.904,2.856
clay.tot_usda.a334_w.pct,mir,kssl,na,original,UGhent,69,8.756,3.522,0.597,0.74,1.645
clay.tot_usda.a334_w.pct,mir,kssl,na,original,UIUC,69,12.714,-5.557,0.462,0.604,1.133
clay.tot_usda.a334_w.pct,mir,kssl,na,original,USP,69,8.081,0.917,0.606,0.775,1.782
clay.tot_usda.a334_w.pct,mir,kssl,na,original,UWisc_fine,69,10.66,-4.655,0.675,0.736,1.351
clay.tot_usda.a334_w.pct,mir,kssl,na,original,Woodwell_alpha,69,6.071,1.763,0.769,0.867,2.372
clay.tot_usda.a334_w.pct,mir,kssl,na,original,Woodwell_vertex,69,6.488,0.881,0.735,0.854,2.22
clay.tot_usda.a334_w.pct,mir,ossl,na,original,Agrocares,69,7.96,-3.247,0.641,0.769,1.809
clay.tot_usda.a334_w.pct,mir,ossl,na,original,Argonne,69,7.163,-0.332,0.681,0.823,2.011
clay.tot_usda.a334_w.pct,mir,ossl,na,original,CSU_IL,69,5.622,-0.592,0.808,0.895,2.562
clay.tot_usda.a334_w.pct,mir,ossl,na,original,ETH_alpha_1,69,7.532,2.395,0.643,0.782,1.912
clay.tot_usda.a334_w.pct,mir,ossl,na,original,ETH_alpha_2,69,6.532,0.19,0.723,0.85,2.205
clay.tot_usda.a334_w.pct,mir,ossl,na,original,ETH_vertex,69,7.546,-2.205,0.747,0.836,1.909
clay.tot_usda.a334_w.pct,mir,ossl,na,original,IAEA_aug2022,69,10.506,-0.869,0.409,0.635,1.371
clay.tot_usda.a334_w.pct,mir,ossl,na,original,KSSL,69,6.317,-0.64,0.744,0.861,2.28
clay.tot_usda.a334_w.pct,mir,ossl,na,original,LandCare,69,6.105,-2.165,0.812,0.882,2.359
