soil_property,spectra_type,subset_type,geo_type,test,organization,n,rmse,bias,rsq,ccc,rpiq
clay.tot_usda.a334_w.pct,mir,kssl,na,original,Agrocares,69,8.774,-1.833,0.505,0.698,1.642
clay.tot_usda.a334_w.pct,mir,kssl,na,original,Argonne,69,7.603,-1.236,0.648,0.8,1.894
clay.tot_usda.a334_w.pct,mir,kssl,na,original,CSU_IL,69,6.203,-0.768,0.79,0.879,2.322
clay.tot_usda.a334_w.pct,mir,kssl,na,original,ETH_alpha_1,69,8.27,1.31,0.589,0.762,1.742
clay.tot_usda.a334_w.pct,mir,kssl,na,original,ETH_alpha_2,69,8.44,-0.107,0.602,0.771,1.707
clay.tot_usda.a334_w.pct,mir,kssl,na,original,ETH_vertex,69,7.288,2.322,0.709,0.824,1.976
clay.tot_usda.a334_w.pct,mir,kssl,na,original,IAEA_aug2022,69,14.203,3.277,0.246,0.466,1.014
clay.tot_usda.a334_w.pct,mir,kssl,na,original,KSSL,69,6.815,0.57,0.732,0.85,2.113
clay.tot_usda.a334_w.pct,mir,kssl,na,original,LandCare,69,5.857,-1.6,0.805,0.887,2.459
clay.tot_usda.a334_w.pct,mir,kssl,na,original,Lesotho,69,22.055,-6.536,0.035,0.151,0.653
clay.tot_usda.a334_w.pct,mir,kssl,na,original,MSU,69,6.881,0.127,0.713,0.842,2.093
clay.tot_usda.a334_w.pct,mir,kssl,na,original,OSU,69,9.357,-0.278,0.569,0.741,1.539
clay.tot_usda.a334_w.pct,mir,kssl,na,original,Rothamsted,69,7.188,-2.577,0.732,0.833,2.004
clay.tot_usda.a334_w.pct,mir,kssl,na,original,Scion,69,7.143,-1.505,0.674,0.814,2.016
clay.tot_usda.a334_w.pct,mir,kssl,na,original,UGhent,69,11.044,2.4,0.473,0.66,1.304
clay.tot_usda.a334_w.pct,mir,kssl,na,original,UIUC,69,20.136,-12.507,0.36,0.406,0.715
clay.tot_usda.a334_w.pct,mir,kssl,na,original,USP,69,9.859,-2.119,0.54,0.713,1.461
clay.tot_usda.a334_w.pct,mir,kssl,na,original,UWisc_fine,69,12.813,-7.307,0.665,0.672,1.124
clay.tot_usda.a334_w.pct,mir,kssl,na,original,Woodwell_alpha,69,10.745,-2.199,0.453,0.654,1.34
