soil_property,spectra_type,subset_type,geo_type,test,organization,n,rmse,bias,rsq,ccc,rpiq
clay.tot_usda.a334_w.pct,visnir,ossl,na,original,AUTH,59,18.608,-3.016,0.192,0.369,0.846
clay.tot_usda.a334_w.pct,visnir,ossl,na,original,CNR_F,59,11.761,1.741,0.316,0.551,1.338
clay.tot_usda.a334_w.pct,visnir,ossl,na,original,CNR_S,59,11.251,-1.444,0.165,0.387,1.399
clay.tot_usda.a334_w.pct,visnir,ossl,na,original,CRAW,59,9.971,-3.146,0.317,0.483,1.579
clay.tot_usda.a334_w.pct,visnir,ossl,na,original,CZU,59,9.872,-3.261,0.418,0.618,1.594
clay.tot_usda.a334_w.pct,visnir,ossl,na,original,Ciemat,59,9.646,-4.235,0.452,0.614,1.632
clay.tot_usda.a334_w.pct,visnir,ossl,na,original,GFZ,59,18.475,-4.171,0.012,-0.102,0.852
clay.tot_usda.a334_w.pct,visnir,ossl,na,original,RTMS,59,14.266,4.403,0.002,-0.032,1.103
clay.tot_usda.a334_w.pct,visnir,ossl,na,original,SPU,59,27.963,-21.36,0.011,0.045,0.563
clay.tot_usda.a334_w.pct,visnir,ossl,na,original,TAU,59,11.291,0.849,0.185,0.422,1.394
clay.tot_usda.a334_w.pct,visnir,ossl,na,original,UCL,59,10.703,3.725,0.231,0.376,1.471
clay.tot_usda.a334_w.pct,visnir,ossl,na,original,XDS,59,6.407,1.074,0.697,0.804,2.456
k.ext_usda.a725_cmolc.kg,visnir,ossl,na,original,AUTH,59,0.99,-0.497,0.097,0.158,0.317
k.ext_usda.a725_cmolc.kg,visnir,ossl,na,original,CNR_F,59,0.932,-0.554,0.155,0.196,0.337
k.ext_usda.a725_cmolc.kg,visnir,ossl,na,original,CNR_S,59,0.362,-0.042,0.207,0.45,0.867
k.ext_usda.a725_cmolc.kg,visnir,ossl,na,original,CRAW,59,0.313,0.156,0.335,0.473,1.002
k.ext_usda.a725_cmolc.kg,visnir,ossl,na,original,CZU,59,0.666,-0.319,0.219,0.315,0.471
