soil_property,spectra_type,subset_type,geo_type,test,organization,n,rmse,bias,rsq,ccc,rpiq
clay.tot_usda.a334_w.pct,visnir,ossl,na,original,AUTH,59,27.765,2.6,0.079,0.192,0.567
clay.tot_usda.a334_w.pct,visnir,ossl,na,original,CNR_F,59,14.268,4.317,0.161,0.374,1.103
clay.tot_usda.a334_w.pct,visnir,ossl,na,original,CNR_S,59,16.32,11.831,0.203,0.276,0.964
clay.tot_usda.a334_w.pct,visnir,ossl,na,original,CRAW,59,13.336,4.025,0.249,0.467,1.18
clay.tot_usda.a334_w.pct,visnir,ossl,na,original,CZU,59,12.853,-6.572,0.308,0.479,1.225
clay.tot_usda.a334_w.pct,visnir,ossl,na,original,Ciemat,59,11.273,-2.77,0.289,0.522,1.396
clay.tot_usda.a334_w.pct,visnir,ossl,na,original,GFZ,59,13.672,4.479,0.095,0.283,1.151
clay.tot_usda.a334_w.pct,visnir,ossl,na,original,RTMS,59,18.318,14.533,0.225,0.249,0.859
clay.tot_usda.a334_w.pct,visnir,ossl,na,original,SPU,59,12.86,-2.167,0.213,0.451,1.224
clay.tot_usda.a334_w.pct,visnir,ossl,na,original,TAU,59,15.8,11.675,0.215,0.268,0.996
clay.tot_usda.a334_w.pct,visnir,ossl,na,original,UCL,59,12.733,7.542,0.297,0.432,1.236
clay.tot_usda.a334_w.pct,visnir,ossl,na,original,XDS,59,9.798,-1.459,0.362,0.593,1.606
k.ext_usda.a725_cmolc.kg,visnir,ossl,na,original,AUTH,59,0.55,-0.064,0.308,0.442,0.57
k.ext_usda.a725_cmolc.kg,visnir,ossl,na,original,CNR_F,59,0.486,-0.156,0.326,0.472,0.646
k.ext_usda.a725_cmolc.kg,visnir,ossl,na,original,CNR_S,59,0.378,-0.091,0.367,0.561,0.831
k.ext_usda.a725_cmolc.kg,visnir,ossl,na,original,CRAW,59,0.388,0.242,0.351,0.469,0.81
k.ext_usda.a725_cmolc.kg,visnir,ossl,na,original,CZU,59,0.48,-0.258,0.358,0.463,0.654
k.ext_usda.a725_cmolc.kg,visnir,ossl,na,original,Ciemat,59,0.5,-0.221,0.333,0.455,0.627
k.ext_usda.a725_cmolc.kg,visnir,ossl,na,original,GFZ,59,0.474,0.366,0.399,0.405,0.662
k.ext_usda.a725_cmolc.kg,visnir,ossl,na,original,RTMS,59,0.338,-0.024,0.45,0.637,0.928
k.ext_usda.a725_cmolc.kg,visnir,ossl,na,original,SPU,59,0.714,-0.295,0.129,0.243,0.439
k.ext_usda.a725_cmolc.kg,visnir,ossl,na,original,TAU,59,0.353,0.074,0.347,0.563,0.888
k.ext_usda.a725_cmolc.kg,visnir,ossl,na,original,UCL,59,0.281,0.05,0.483,0.683,1.118
k.ext_usda.a725_cmolc.kg,visnir,ossl,na,original,XDS,59,0.748,-0.566,0.319,0.283,0.42
oc_usda.c729_w.pct,visnir,ossl,na,original,AUTH,59,2.241,0.918,0.919,0.933,0.841
oc_usda.c729_w.pct,visnir,ossl,na,original,CNR_F,59,3.521,1.273,0.959,0.783,0.535
oc_usda.c729_w.pct,visnir,ossl,na,original,CNR_S,59,2.603,0.578,0.948,0.893,0.725
